#Num friends, num posts, num likes
518,128,318
459,114,238
609,108,292
895,111,361
411,71,151
1026,84,207
775,62,174
704,104,207
579,79,211
770,69,168
644,84,275
729,92,222
357,74,223
445,56,145
755,88,244
1030,82,178
644,62,106
814,93,276
659,102,288
693,116,355
695,104,278
873,94,214
810,119,278
820,137,406
583,120,386
576,72,102
400,132,345
436,101,311
653,120,275
849,99,262
437,85,220
898,73,211
728,150,367
430,95,206
405,109,229
901,125,403
520,108,218
745,96,217
418,135,455
929,106,295
838,92,194
931,101,243
933,81,234
735,111,290
940,83,252
770,88,275
924,74,160
595,119,268
474,131,347
634,99,314
822,120,274
366,120,313
553,145,369
789,116,286
921,87,272
441,136,409
609,99,252
726,104,313
740,126,407
787,118,357
749,82,308
568,111,289
983,36,19
222,113,260
572,118,236
545,95,133
641,86,233
956,113,255
414,77,166
417,141,484
676,82,220
992,115,293
941,104,268
774,103,313
433,156,377
568,127,347
916,97,328
730,128,259
659,88,233
653,69,116
550,109,245
658,121,346
664,80,233
878,95,219
688,104,301
717,104,290
1012,102,331
1050,107,305
950,121,350
472,79,181
518,106,302
698,64,107
694,128,307
975,125,361
345,127,287
776,52,53
654,77,176
712,103,394
691,82,182
613,106,338
787,121,281
849,108,203
734,83,205
448,135,406
494,140,413
1223,67,216
1064,64,188
560,130,382
1201,62,169
656,96,221
419,104,143
618,123,314
669,136,279
784,109,391
828,97,217
956,79,137
867,63,232
574,114,247
629,170,512
598,123,285
817,67,150
823,97,304
655,119,364
710,84,170
517,98,213
778,91,187
594,71,175
523,77,210
950,107,280
750,82,223
402,95,264
633,128,302
748,70,149
989,118,343
589,56,155
691,79,158
505,92,211
806,86,272
508,113,266
653,148,498
861,98,271
1161,81,230
732,85,186
378,90,168
575,109,298
605,131,382
1049,107,318
734,106,241
594,101,240
596,92,228
857,53,34
737,86,210
394,79,122
598,119,305
659,102,229
530,92,255
329,114,240
653,80,180
938,129,362
775,91,203
644,120,295
333,85,151
417,74,238
638,155,374
693,77,230
521,70,243
559,129,382
614,77,167
939,121,283
545,96,251
709,169,436
911,118,310
718,84,183
531,133,369
359,84,138
420,109,222
1008,77,266
714,91,185
576,112,285
858,85,224
835,88,159
949,70,93
641,109,343
593,109,358
688,77,193
991,91,316
769,114,269
608,85,207
459,105,187
587,91,182
560,94,198
413,114,236
621,83,169
926,141,509
292,100,207
534,139,385
776,82,201
849,90,243
831,113,283
185,104,179
946,129,327
657,64,139
1091,86,279
350,118,349
965,137,454
1010,86,322
807,94,157
471,86,191
1117,56,118
525,102,327
670,133,427
541,107,210
909,80,142
403,77,157
994,78,219
639,137,338
853,86,303
952,89,370
650,86,177
763,135,349
664,127,269
815,60,95
827,96,232
512,102,248
529,132,391
584,78,235
499,87,93
674,98,189
831,109,214
711,112,216
354,94,237
764,63,141
412,92,213
763,59,149
718,107,204
801,74,233
426,80,81
757,106,317
812,96,292
868,83,242
631,107,228
896,76,132
989,86,263
719,80,281
1082,88,203
370,80,163
649,61,72
738,78,108
659,161,438
401,84,238
669,69,195
502,65,189
439,124,286
733,107,256
627,89,263
726,78,227
593,108,357
1043,85,343
793,71,75
644,121,267
1046,98,353
474,84,232
966,82,132
482,112,149
665,106,266
393,110,261
726,52,99
666,107,219
711,103,308
962,68,157
638,95,221
979,117,307
865,87,215
638,100,195
698,68,161
789,123,322
508,106,262
572,113,320
934,61,180
696,75,238
573,136,374
554,119,274
671,109,263
698,85,180
307,107,127
1010,45,25
461,99,228
465,110,215
923,97,376
821,55,3
581,154,324
626,93,212
539,119,337
368,141,320
339,73,67
1005,79,232
725,126,461
627,82,248
640,77,153
311,156,328
657,88,181
561,102,152
955,53,171
485,115,222
802,104,313
678,83,229
597,156,504
465,141,317
748,142,318
697,107,311
698,86,102
1163,132,411
906,88,260
513,86,200
733,100,271
400,107,290
1043,63,205
634,106,277
640,135,342
683,127,291
445,133,328
610,110,275
750,137,464
879,31,27
799,115,305
503,96,209
392,75,158
543,89,232
651,98,308
701,84,169
770,142,361
599,82,154
565,139,344
428,157,493
699,84,105
488,121,324
699,98,270
749,97,265
803,119,252
453,95,149
611,81,159
574,92,141
691,98,290
545,79,191
1130,84,257
510,132,402
1302,88,300
567,118,257
665,92,267
879,86,169
585,77,158
944,71,208
617,140,414
785,72,257
651,104,217
583,121,299
863,115,340
482,86,187
425,101,258
861,94,317
585,80,197
123,114,280
632,127,355
508,76,63
737,89,247
919,58,112
446,89,132
859,24,62
876,75,86
650,110,413
947,88,223
689,89,217
885,94,233
834,136,491
1216,95,268
176,121,276
799,140,378
579,79,233
583,102,260
825,100,130
528,136,378
691,139,320
544,131,267
718,105,267
976,55,149
652,96,180
717,97,277
516,95,262
1014,99,285
711,69,118
757,119,298
563,131,320
993,137,413
507,95,140
984,88,236
869,90,351
726,97,335
683,78,91
854,132,404
551,106,247
1085,82,376
408,130,308
571,101,194
701,104,338
898,115,251
613,119,249
988,100,322
871,128,319
594,96,246
567,126,309
908,107,249
802,42,46
732,123,286
627,79,263
676,126,328
693,106,208
760,105,284
826,90,158
799,74,199
934,92,113
1043,87,320
938,108,313
505,117,325
865,34,3
644,105,254
914,129,381
466,77,185
970,75,245
681,131,383
788,124,307
751,145,405
933,98,344
509,70,143
662,86,223
281,83,130
1069,68,231
646,87,216
618,134,388
918,108,387
549,71,213
744,79,217
395,137,293
578,87,188
656,121,353
1052,97,267
791,124,391
487,64,112
828,77,311
682,39,81
426,82,199
854,82,170
640,86,160
601,132,346
776,105,262
682,106,233
353,106,316
795,68,169
352,128,311
1017,54,155
1035,87,151
884,135,377
520,80,293
755,104,338
1071,119,324
714,105,240
816,90,160
585,109,246
666,110,288
1170,124,351
873,94,254
437,147,395
753,90,262
817,79,161
775,70,155
665,129,414
755,105,300
518,70,154
773,94,278
710,97,212
617,100,229
830,116,293
831,89,325
687,102,257
735,152,461
464,104,215
806,86,162
734,126,337
637,117,239
594,87,250
476,139,356
1013,63,131
745,117,224
499,82,168
533,78,159
761,95,235
842,97,294
607,112,383
707,87,230
701,116,214
650,97,294
943,73,61
580,91,205
398,128,313
474,81,217
649,68,210
754,114,279
443,107,243
361,107,215
491,112,302
728,102,264
547,101,205
1004,72,207
772,58,131
700,59,209
857,87,197
655,78,94
244,131,324
885,92,241
616,60,144
701,115,379
762,80,160
767,53,77
687,106,259
546,150,435
973,108,380
750,74,159
928,113,302
784,77,219
945,141,467
730,71,152
494,130,380
1066,116,374
460,98,202
325,81,44
971,119,373
772,60,120
793,116,284
1034,70,143
520,105,223
550,118,303
724,96,251
429,105,352
666,108,184
398,88,15
668,97,188
609,102,192
667,91,338
743,83,154
424,135,364
797,73,193
676,95,254
717,69,256
636,70,137
832,91,238
458,76,144
891,129,242
522,94,239
748,102,229
714,89,173
504,83,110
757,69,133
767,56,86
737,110,208
895,93,268
578,97,214
681,60,120
571,66,108
450,133,394
1135,89,182
747,86,205
917,118,297
968,107,367
561,130,257
357,133,393
510,101,164
619,127,427
504,92,239
309,105,225
673,94,261
701,67,196
423,121,360
755,96,263
758,110,198
556,128,370
477,96,170
443,116,380
643,77,229
657,148,342
403,116,264
775,91,165
906,67,216
353,86,210
601,83,209
516,99,267
653,54,14
750,113,327
808,105,188
1002,65,62
794,119,346
961,96,167
877,89,262
601,135,342
590,63,192
810,130,393
432,101,230
636,101,249
665,76,173
574,96,248
358,118,250
939,71,120
688,78,144
637,98,342
231,113,211
182,99,252
823,59,123
944,26,57
731,114,201
591,55,227
664,146,345
838,133,292
218,122,274
760,89,126
866,125,388
971,58,96
530,126,316
340,83,261
789,95,298
870,76,167
845,99,196
979,83,216
966,89,239
467,77,75
618,104,236
860,110,254
961,64,125
462,117,285
668,83,197
611,93,221
844,117,316
850,102,216
1041,49,193
438,125,249
742,84,225
484,85,179
769,104,313
779,94,239
924,110,324
588,107,338
592,95,127
1018,117,325
865,79,154
668,118,298
573,73,135
429,85,134
617,102,166
895,57,166
1056,123,475
318,142,362
648,71,194
777,101,207
921,108,288
636,103,253
862,125,458
880,118,382
741,103,236
735,109,325
312,141,346
408,59,112
785,103,275
809,103,272
546,125,336
832,75,206
789,78,188
856,82,172
715,88,315
356,119,314
800,115,296
698,86,255
430,123,315
530,121,323
755,126,374
757,94,285
1005,91,256
1003,85,217
994,113,294
1087,125,420
611,105,169
763,87,265
841,108,279
1014,74,117
538,107,173
562,111,344
977,94,253
664,111,176
860,92,170
796,110,297
574,97,167
957,58,67
783,89,219
715,153,502
512,114,226
787,74,266
924,90,266
774,98,321
816,84,228
231,106,181
907,114,391
870,78,217
547,112,284
785,122,349
410,75,116
886,92,288
888,114,309
746,112,309
844,106,281
539,116,321
683,87,261
789,103,288
732,110,267
751,95,273
738,129,324
1063,119,282
446,115,301
682,44,4
608,73,161
672,98,224
759,78,171
718,110,273
1038,83,174
1125,86,244
265,117,319
874,110,347
554,99,306
811,71,137
463,90,197
551,114,212
743,88,200
835,115,300
955,40,134
821,81,270
452,92,155
878,73,231
530,117,269
835,73,176
701,133,384
566,102,313
723,153,348
466,117,281
649,130,332
1024,102,260
633,110,421
860,132,420
606,94,143
967,41,4
864,76,187
539,114,331
762,77,193
556,62,179
775,137,298
729,87,273
1005,74,113
771,93,220
532,62,69
442,90,163
494,84,219
623,91,206
556,91,221
708,120,260
622,59,97
577,138,416
697,84,167
874,86,222
730,89,203
654,77,219
594,77,264
755,36,22
649,80,114
471,99,265
938,121,177
1055,86,176
525,119,189
726,107,269
829,55,174
722,89,126
403,116,237
545,106,345
754,41,113
758,110,268
934,75,261
660,135,300
890,123,385
963,128,381
487,112,324
572,110,313
639,83,166
882,121,326
616,101,216
1013,93,257
995,106,361
832,106,220
764,91,322
498,126,243
713,118,322
456,101,341
979,94,351
458,139,254
346,101,131
454,108,272
753,79,277
924,74,200
1021,135,362
782,65,180
676,152,422
735,62,219
828,106,278
784,42,41
565,72,140
656,106,251
700,92,397
671,127,294
142,57,97
493,87,154
574,89,155
795,106,350
825,95,174
800,96,269
744,91,265
700,124,313
1087,70,218
757,94,80
976,93,246
626,95,260
534,41,4
796,123,377
540,90,250
838,96,267
712,81,227
446,75,143
882,90,279
570,109,384
958,68,147
584,130,323
720,111,362
495,124,375
567,75,122
872,145,346
844,100,285
928,98,294
859,102,299
604,112,284
709,111,269
659,93,246
603,115,400
715,123,327
889,108,282
736,109,322
815,47,87
434,125,333
1059,48,258
608,112,346
801,129,369
736,111,348
960,84,221
522,119,222
934,42,80
924,96,260
1124,104,229
743,108,274
906,56,152
864,109,355
653,133,335
687,111,309
988,64,173
736,88,207
526,106,190
251,124,300
407,89,182
539,121,353
734,38,83
576,92,308
826,89,246
989,77,161
786,98,209
994,74,104
499,84,91
853,89,127
532,123,333
669,99,196
695,107,276
667,145,429
473,108,332
731,139,313
811,95,190
503,96,257
863,156,457
664,107,220
878,61,154
689,100,241
707,138,326
478,106,227
1049,86,166
687,119,370
363,87,130
846,117,297
805,130,367
765,111,281
533,97,166
1086,133,393
762,98,158
630,107,298
802,102,319
586,98,249
791,102,188
490,82,81
954,118,314
526,74,155
798,150,436
658,119,327
822,66,203
757,92,281
350,138,344
531,113,231
871,82,162
673,117,375
897,124,227
1057,68,231
878,127,415
748,114,409
651,103,215
517,139,290
443,120,306
636,95,234
892,13,18
447,84,143
645,94,256
745,93,272
297,100,271
781,101,239
306,123,284
661,114,290
930,100,277
451,76,159
718,72,147
875,104,259
395,114,276
857,124,315
691,114,332
889,116,253
1029,78,332
373,148,472
1180,106,310
469,77,233
968,103,255
705,84,119
742,130,441
618,118,267
966,128,292
821,97,184
731,94,174
952,100,232
814,73,195
1017,116,318
1047,97,237
319,135,278
921,72,163
801,117,356
1006,129,454
282,114,406
988,74,176
484,101,258
663,101,213
1074,101,280
509,58,90
524,121,390
502,67,156
724,79,148
547,97,203
385,141,320
1085,98,263
525,126,231
647,90,173
965,116,373
512,100,306
695,56,90
702,113,268
659,78,266
530,90,143
742,97,345
839,67,156
689,103,157
740,104,310
752,77,215
538,53,182
743,71,229
655,127,335
706,79,200
612,101,226
628,102,249
858,83,217
715,81,119
546,93,198
617,99,217
533,73,176
648,123,340
553,111,305
598,119,300
553,112,294
876,110,382
396,146,398
594,93,286
680,83,174
530,117,359
206,119,316
700,68,53
903,66,152
677,78,197
471,95,193
580,117,311
811,91,251
379,137,312
821,96,183
737,56,190
1058,65,116
1070,76,208
538,93,215
834,107,276
693,98,185
734,75,206
954,93,211
471,66,152
532,53,82
543,102,312
874,91,270
524,94,283
901,127,475
601,94,281
795,88,191
906,82,233
1160,82,162
636,82,237
804,110,262
713,93,183
1000,102,245
427,123,399
667,71,172
835,118,349
398,111,250
685,102,246
355,138,384
764,93,275
641,82,270
449,77,138
532,85,178
438,94,209
1078,122,275
445,151,520
842,62,94
711,92,197
534,96,278
587,105,281
992,102,286
611,107,241
627,140,368
430,94,164
798,64,118
675,86,232
679,101,144
828,90,285
674,66,149
629,76,197
688,93,302
911,67,280
728,77,204
468,113,305
540,100,291
914,93,192
649,82,94
357,118,314
899,109,297
759,89,219
1096,80,290
607,74,228
557,100,247
724,89,169
823,76,156
865,87,186
832,147,525
318,83,219
599,82,143
488,123,305
577,89,279
605,92,116
1000,129,445
678,104,229
687,69,58
570,61,90
1130,83,160
619,152,462
767,122,333
789,75,261
997,100,247
753,91,118
1161,67,186
718,76,216
343,106,321
839,62,73
1006,46,106
268,148,372
761,89,194
966,108,276
671,105,238
843,91,213
582,144,380
999,110,331
1108,44,84
624,69,80
573,82,291
874,81,247
691,114,332
841,41,29
935,87,159
681,70,129
313,142,368
420,73,175
630,105,282
576,113,233
707,101,233
581,117,376
616,117,285
683,115,305
643,79,186
503,94,255
670,107,334
698,120,302
525,105,295
278,135,345
548,84,122
636,107,395
812,93,256
587,103,282
754,71,137
920,107,306
991,67,179
456,96,284
732,81,202
674,119,220
880,72,189
625,116,336
763,79,194
719,141,467
616,94,268
777,113,286
556,93,223
1014,110,442
883,89,216
517,106,212
954,103,326
779,101,289
810,33,100
723,102,406
766,137,496
853,83,220
810,88,253
935,92,245
612,112,304
647,83,255
768,120,318
846,135,376
653,82,139
941,60,162
666,72,208
410,114,255
987,8,14
784,153,503
525,93,248
1078,58,140
626,110,394
808,118,329
497,84,136
542,119,298
612,88,222
864,118,355
496,83,169
422,108,319
635,102,163
616,114,323
645,86,271
558,127,335
938,112,370
1115,75,249
736,135,355
713,98,198
829,65,83
460,132,246
941,108,299
592,116,313
755,63,100
836,96,283
1213,116,388
864,126,343
933,135,396
715,94,123
877,145,386
1091,82,158
799,60,52
791,127,353
979,60,189
1052,32,1
720,110,257
625,65,116
292,110,232
351,115,283
662,122,454
588,106,313
689,121,254
581,104,292
950,79,216
997,122,344
895,62,156
724,149,498
496,96,306
783,85,129
898,71,180
529,142,385
793,112,352
735,87,185
664,82,111
856,95,220
262,136,385
605,124,276
1016,39,113
320,88,131
661,112,397
686,99,194
679,138,436
812,90,192
708,95,390
1094,110,497
726,101,288
836,137,409
695,94,216
460,114,293
771,105,289
586,94,281
827,75,138
687,125,400
573,122,229
783,36,9
744,114,369
596,77,227
755,104,181
761,122,360
634,45,78
473,70,194
293,72,91
600,100,196
490,105,227
147,101,284
552,87,112
668,82,267
563,76,126
924,107,245
422,122,263
232,93,220
832,75,143
525,85,163
980,99,139
918,93,293
811,94,232
706,73,197
348,149,333
288,106,151
683,115,331
576,106,271
594,106,272
318,180,350
546,117,306
725,116,347
764,116,324
679,61,114
1000,52,71
374,149,347
728,73,160
710,86,213
465,103,219
868,116,245
552,102,263
728,103,103
661,98,154
843,153,468
820,104,292
700,154,350
429,120,311
372,96,255
649,66,72
232,108,222
842,50,156
537,92,180
558,125,327
488,139,294
701,112,230
885,106,164
618,114,194
760,114,291
626,119,308
846,108,218
737,105,268
666,112,410
445,108,233
359,151,448
299,133,286
647,110,207
628,130,342
731,69,241
635,64,255
636,135,390
624,79,167
731,93,298
501,109,318
946,78,142
912,101,293
441,88,139
499,132,348
944,88,133
685,125,278
538,111,299
780,127,333
567,84,329
511,97,223
1086,88,306
650,80,203
507,112,189
734,71,136
641,118,261
507,105,234
783,126,333
994,53,156
677,93,174
1020,86,308
754,126,315
841,76,152
497,130,298
973,73,81
616,86,200
735,85,230
1166,134,500
560,103,269
784,37,20
672,101,276
1001,62,189
299,90,186
1080,103,279
818,99,307
982,148,360
769,105,231
759,82,160
869,111,318
723,96,293
744,31,16
801,92,232
476,103,230
425,94,230
728,79,233
657,57,97
824,105,231
885,100,355
986,149,385
939,52,150
832,107,336
839,102,300
372,110,339
699,73,185
1258,101,328
987,124,381
420,118,158
821,99,222
904,120,397
878,82,130
934,82,159
628,121,328
859,115,230
651,85,251
792,85,127
902,82,187
519,76,104
1043,100,237
219,93,255
770,105,248
642,98,235
638,85,234
622,55,105
642,129,406
567,102,256
743,83,137
413,118,342
641,71,253
380,67,55
558,120,306
656,69,157
600,84,237
744,126,238
903,96,264
603,114,224
754,121,321
503,128,365
542,119,287
124,170,371
968,87,252
721,69,143
463,92,142
271,151,355
610,104,154
370,94,286
1017,127,347
689,99,290
736,79,147
1415,53,154
747,105,185
860,91,333
482,67,76
615,90,238
482,113,238
672,98,275
483,153,410
944,104,299
787,71,179
685,124,407
913,97,280
450,157,477
525,136,372
958,88,220
660,72,88
869,127,435
483,99,267
781,106,298
605,100,274
356,137,336
648,92,234
730,90,221
847,82,176
754,106,291
820,102,238
641,104,259
405,142,277
644,107,226
958,115,408
528,80,82
230,130,306
659,143,400
539,101,282
740,146,370
530,149,414
630,97,226
552,135,397
762,71,176
394,85,161
625,65,214
549,107,248
769,132,375
688,108,274
867,114,370
530,89,139
928,99,276
778,124,443
531,116,207
630,111,420
838,92,221
822,46,107
294,111,297
774,102,230
811,123,301
727,142,380
502,76,154
519,74,191
592,94,218
821,136,344
512,71,186
625,129,322
940,115,280
554,73,88
520,81,40
1026,120,218
953,95,160
662,94,232
936,56,250
657,79,130
499,125,323
838,96,188
930,58,132
434,108,174
526,113,273
828,92,295
489,86,137
788,83,211
757,138,435
773,77,151
596,102,188
295,89,222
760,96,328
516,106,261
1038,117,317
79,102,165
644,96,210
614,117,298
447,106,273
1125,70,168
731,127,337
897,161,465
867,108,160
705,103,276
617,72,176
1201,76,196
1030,108,330
712,110,392
830,82,145
400,68,65
516,105,318
504,99,194
928,79,166
798,112,260
478,124,296
762,118,327
742,69,87
731,106,339
652,100,253
1006,76,231
989,38,85
753,59,77
491,90,123
378,130,263
638,102,213
807,140,435
372,134,337
702,125,323
852,122,362
887,113,426
691,94,75
955,109,282
566,104,261
593,142,420
365,100,140
679,88,328
624,76,129
877,72,305
786,63,112
381,103,148
753,105,337
648,87,328
615,123,334
828,104,228
654,98,278
623,102,308
958,107,304
933,77,186
886,40,80
670,94,225
894,83,115
654,115,353
551,95,198
768,117,309
869,67,217
969,118,354
391,121,293
736,74,175
822,77,243
341,140,472
808,95,301
704,88,244
766,114,310
633,133,417
465,76,111
890,90,194
290,115,104
642,95,273
518,44,66
588,130,298
707,87,165
672,67,74
607,129,377
853,128,475
885,94,219
491,95,191
539,110,332
511,109,275
808,80,296
897,19,49
908,123,372
793,59,129
835,73,224
703,97,278
112,105,298
489,77,168
599,97,125
532,48,76
665,81,194
773,84,205
344,113,295
760,28,30
849,76,207
750,112,346
554,111,209
915,104,302
677,107,261
545,85,93
753,101,323
799,115,247
289,105,351
860,80,308
812,115,241
620,137,375
605,129,233
524,135,344
272,118,262
784,105,244
981,67,180
632,109,262
650,87,158
385,58,48
693,111,345
580,131,393
430,136,349
702,99,268
1136,90,175
499,109,225
616,105,256
1026,106,275
355,105,221
656,85,86
634,154,404
724,98,214
717,120,336
753,107,330
877,73,184
860,80,229
750,97,233
715,68,201
746,99,260
879,142,409
812,111,368
615,67,237
1095,93,367
665,91,298
989,38,43
532,151,407
412,100,216
545,71,122
757,51,227
259,94,163
570,102,250
765,111,438
586,62,124
670,117,432
516,92,197
793,92,220
699,95,202
500,98,230
652,77,185
436,120,241
672,113,274
962,79,264
386,121,256
856,101,220
763,88,193
556,96,295
662,92,241
646,88,188
555,95,249
591,92,147
703,140,459
484,91,242
799,107,228
816,102,304
591,121,368
705,70,88
901,105,236
805,68,175
677,134,361
1084,127,354
1032,95,200
524,91,236
787,89,288
823,86,294
931,75,213
795,79,251
513,86,195
1037,75,217
589,81,285
704,171,543
801,78,194
828,104,334
535,81,193
523,82,135
622,104,253
580,85,124
509,99,158
786,96,252
724,62,141
773,120,348
569,103,309
298,96,243
880,81,116
366,81,86
532,112,257
993,126,371
826,106,392
744,127,387
460,90,246
674,138,434
552,108,251
845,64,159
600,100,257
404,135,307
224,157,438
807,115,333
732,105,202
775,119,234
854,94,286
752,62,139
649,85,187
841,130,324
741,62,125
952,58,190
1070,63,190
614,105,247
1013,80,207
527,62,141
817,66,159
546,118,288
600,78,68
824,80,192
883,128,423
913,125,365
774,137,318
798,67,160
556,75,139
622,94,177
416,124,274
773,72,90
504,147,405
721,66,184
583,90,94
833,95,253
712,84,165
875,72,77
713,73,216
666,87,182
296,123,209
675,132,397
488,114,246
663,108,247
771,95,150
885,114,224
933,126,355
346,153,388
637,65,146
927,65,197
827,101,202
787,133,368
680,114,355
465,92,143
701,91,314
760,100,227
882,136,401
781,72,156
747,110,398
491,122,315
799,87,251
665,135,431
773,115,270
800,86,267
290,76,128
801,106,207
878,118,305
587,85,164
881,92,261
916,41,122
625,117,259
816,144,531
752,121,313
432,141,364
538,67,162
698,85,225
673,131,387
609,72,218
234,150,396
786,84,255
439,110,272
728,118,341
601,134,365
997,87,284
563,120,253
150,138,331
415,67,117
961,65,151
876,90,246
558,69,116
154,116,257
693,139,311
580,102,215
632,109,330
809,92,229
360,121,294
573,121,290
445,213,616
820,70,167
500,85,187
903,92,220
448,83,162
1034,104,243
570,103,251
460,98,212
705,106,296
796,78,174
847,65,95
700,62,114
981,105,225
849,60,111
912,162,453
760,119,288
839,92,262
678,91,321
608,98,273
862,59,130
692,57,27
937,60,126
1173,92,228
567,98,226
520,116,248
822,86,277
589,105,237
907,44,70
1016,89,161
504,85,243
685,120,290
863,114,279
170,98,125
590,112,246
724,81,157
437,97,245
529,99,216
802,63,106
620,124,257
1005,100,318
756,142,391
544,66,173
354,139,216
801,92,338
613,99,229
527,149,364
744,95,193
372,148,410
834,108,387
518,57,107
634,107,255
699,116,256
731,131,279
706,134,451
820,51,67
674,73,181
606,63,135
650,119,374
751,117,249
541,133,244
892,74,125
732,64,179
948,76,175
553,74,117
752,126,306
722,85,150
624,126,319
479,122,278
874,131,413
265,103,166
665,74,251
792,93,328
456,98,186
410,109,212
845,101,230
129,126,244
791,90,174
663,102,197
1057,108,311
732,58,210
774,46,90
940,107,305
581,115,287
801,102,236
711,80,200
508,120,289
733,115,361
594,155,387
731,111,215
921,97,311
929,97,302
724,101,366
437,112,233
411,80,243
579,104,189
878,89,163
205,100,280
558,88,196
803,89,162
688,122,330
523,76,136
737,139,404
1028,86,346
350,106,130
487,105,284
476,135,250
918,72,107
547,114,252
935,61,90
592,154,451
736,127,281
772,84,231
929,62,125
703,106,315
950,98,253
853,109,322
601,91,234
564,135,347
681,135,431
503,133,234
826,102,162
658,94,225
438,121,182
423,118,405
571,120,215
420,116,384
812,53,91
808,89,249
835,97,233
483,100,254
350,136,330
787,96,285
740,132,374
564,109,262
715,60,112
724,65,86
589,109,237
406,74,169
657,70,208
764,93,222
477,89,142
403,85,102
367,139,431
544,75,277
425,114,141
713,114,377
892,90,270
743,95,179
832,76,312
624,106,327
289,120,353
826,125,431
300,80,108
992,103,293
622,52,58
361,127,262
864,84,168
544,138,339
663,134,464
547,77,144
654,128,380
900,85,216
904,109,278
997,111,381
602,112,250
789,111,405
478,92,268
960,118,385
724,165,479
938,60,208
563,111,331
712,103,286
854,81,242
526,143,355
522,129,313
728,98,209
916,102,340
494,146,422
709,62,91
837,70,103
981,100,280
1013,98,314
684,140,308
609,105,250
750,101,165
431,127,247
861,90,332
994,62,140
865,97,220
452,96,215
677,46,24
782,91,229
714,110,216
704,100,117
712,61,65
812,82,250
948,118,400
648,110,235
878,86,128
633,80,199
710,83,269
679,94,219
778,105,262
751,108,336
844,113,341
1158,83,306
679,76,97
961,76,227
822,101,220
710,85,210
672,73,289
620,98,206
489,83,213
796,104,273
844,58,175
727,84,257
600,137,289
1054,125,288
966,66,148
542,85,208
